Sample Identifier,Selected,Classroom
NZL/22CV4243/2022,no,
Scotland/QEUH-3DF47D7/2022,no,
NZL/22MV2281/2022,no,
BHR/R35902279423/2022,no,
KEN/SS8469/2022,no,
KEN/SS10572/2022,no,
DJI/NAMRU3_E502/2022,no,
LBY/80894-93/2022,no,
THA/MTM_01_269/2022,no,
NZL/22CH1782/2022,no,
BRA/LACENAL-270224690/2022,no,
BRA/LACENAL-270227045/2022,no,
BHR/22970087025/2022,no,
NZL/22CH0822/2022,no,
NZL/22MV1391/2022,no,
NZL/22CH1506/2022,no,
BHR/22690051065_S16_L001/2022,no,
Switzerland/VS-ICH-2220406865/2022,no,
OX243624,no,
USA/VSP13804/2022,no,
OW684998,no,
USA/CA-CDC-STM-4MMX7F4BG/2022,no,
KEN/SS8364/2022,no,
Scotland/QEUH-3950EE7/2022,no,
MYS/K7_2243125/2022,no,
AUS/VIC-VIDRL-00001820/2022,no,
AUS/VIC-VIDRL-00005478/2022,no,
OX427266,no,
LAO/LOMWRU-0875/2022,no,
Japan/SZ-NIG-Y222752/2022,no,
Japan/SZ-NIG-Y223218/2023,no,
BHR/23020178849_S11_L001/2023,no,
AUS/VIC-VIDRL-00002502/2022,no,
KEN/C120693/2022,no,
USA/TX-CDC-QDX46611691/2023,no,
BHR/T094978247/2022,no,
KEN/SS11792/2023,no,
BRA/LACENAL-270247627/2023,no,
KEN/C122375/2023,no,
KEN/SS11814/2023,no,
KEN/C122713/2023,no,
KEN/C122719/2023,no,
KEN/C122494/2023,no,
Switzerland/GE-HUG-41339464/2023,no,
THA/MTM_01_760/2023,no,
BHR/880801344/2023,no,
Switzerland/VS-ICH-2230443823/2023,no,
BHR/410104850/2023,no,
Switzerland/ZH-UZH-IMV-4754a7dc/2023,no,
BRA/LACENAL-270247196/2023,no,
USA/NJ-CDC-LC0988535/2023,no,
England/QEUH-326A76A0/2023,no,
Wales/QEUH-326C9893/2023,no,
USA/TX-CDC-QDX46945218/2023,no,
OX432849,no,
Switzerland/GE-HUG-41090319/2023,no,
ZAF/NHLS-UCT-GS-CH53/2023,no,
USA/MI-CDC-LC1040928/2023,no,
England/BRBR-32700B4B/2023,no,
OX453595,no,
England/BRBR-326FDF64/2023,no,
ZAF/OmicronBA.4/2022,no,
ZAF/NHLS-UCT-GP-O981/2022,no,
ZAF/NHLS-UCT-GP-U294/2022,no,
ZAF/NHLS-UCT-LA-ZB32/2022,no,
USA/CT-CDC-LC0874608/2022,no,
THA/CONI-3808/2022,no,
ZAF/NHLS-UCT-GS-BJ89/2022,no,
USA/WA-S20976/2022,no,
USA/VT-CDCBI-CRSP_TVD4ANHXXP33EBUY/2022,no,
USA/WA-CDC-LC0770886/2022,no,
USA/WA-CDC-LC0771289/2022,no,
USA/NV-CDC-LC0725908/2022,no,
SouthAfrica/NHLS-UCT-GS-BJ43/2022,no,
USA/RI-CDCBI-RIDOH_DCSKDJXDSQTXFRND/2022,no,
USA/RI-CDCBI-RIDOH_6JO2FGIZSAD7SUK5/2022,no,
USA/MA-CDCBI-CRSP_M7HDCFVYT3XB5GDA/2022,no,
USA/MA-CDCBI-CRSP_FPYOSHSQ2FNIR4XU/2022,no,
USA/MA-CDCBI-CRSP_6B4ATNPHPBHFP3GG/2022,no,
USA/VT-CDCBI-CRSP_MTJQEAREJTM7L54J/2022,no,
USA/VT-CDCBI-CRSP_OCCUXAUMJMANBKRQ/2022,no,
USA/MA-CDCBI-CRSP_J3BWF7WLVKFGKIV6/2022,no,
USA/MA-CDCBI-CRSP_2S3ORXFMXWZQ5G5Q/2022,no,
USA/MA-CDCBI-CRSP_2SCPAALTWIBFFURM/2022,no,
USA/MA-CDCBI-CRSP_HWIJMFF7VH2RRSH2/2022,no,
USA/MA-CDCBI-CRSP_L65WIYEJMNWDD7KR/2022,no,
USA/MA-CDCBI-CRSP_WFARSF4SXDM6EKVA/2022,no,
COM/SS10395/2022,no,
USA/WI-UW-11833/2022,no,
USA/FL-CDC-LC0742017/2022,no,
USA/NC-CDC-LC0728188/2022,no,
ZAF/NHLS-UCT-GP-O836/2022,no,
SouthAfrica/NHLS-UCT-GS-BJ48/2022,no,
USA/NY-CUIMC-NP-40529445/2022,no,
USA/NH-CDCBI-CRSP_67GLHLB7K3KEIREQ/2022,no,
USA/WA-CDC-LC0704507/2022,no,
USA/WA-S22086/2022,no,
USA/MA-CDCBI-CRSP_AVE6MXYUK3LO77CL/2022,no,
USA/MA-CDCBI-CRSP_OXU5A7QJWW6ZUWJF/2022,no,
USA/NY-CUIMC-NP-40527337/2022,no,
USA/WA-S20970/2022,no,
USA/WA-CDC-LC0848643/2022,no,
USA/WA-CDC-LC0736116/2022,no,
USA/WA-CDC-LC0740665/2022,no,
USA/WA-CDC-LC0675817/2022,no,
USA/WV133250/2022,no,
USA/MA-CDCBI-CRSP_6NZANRZRDBIY6LJK/2022,no,
ZAF/NHLS-UCT-GS-CA33/2022,no,
BRA/LACENAL-270228641/2022,no,
USA/VSP15705/2022,no,
NZL/22CH4552/2022,no,
USA/WA-S20547/2022,no,
USA/WA-S20992/2022,no,
USA/WI-UW-12235/2022,no,
USA/WI-UW-12627/2022,no,
USA/NJ-CDC-LC0672112/2022,no,
DJI/DJI_NAMRU3_SOTF_SWAB_47/2022,no,
USA/VT-CDCBI-CRSP_M55V3U3WH7GVA4DD/2022,no,
USA/WA-CDC-LC0695914/2022,no,
USA/MA-CDCBI-CRSP_C6YIUO6GFI5OAFCJ/2022,no,
USA/WI-UW-11823/2022,no,
USA/WA-S22495/2022,no,
USA/WI-UW-11515/2022,no,
USA/WI-UW-11761/2022,no,
USA/WI-CDC-QDX39080173/2022,no,
ZAF/NHLS-UCT-GS-BK79/2022,no,
THA/MTM_01_272/2022,no,
USA/WA-S20487/2022,no,
USA/WI-UW-11601/2022,no,
USA/WI-UW-12246/2022,no,
ZAF/NHLS-UCT-GS-BM49/2022,no,
USA/WA-CDC-LC0739822/2022,no,
USA/WI-UW-11482/2022,no,
USA/MA-CDCBI-CRSP_2RYG2ERZME5XJ66P/2022,no,
USA/MA-Broad-CRSP_4TYBGLTCI7NOM3KT/2022,no,
USA/WA-CDC-UW22060694425/2022,no,
USA/WA-S20990/2022,no,
USA/MA-CDCBI-CRSP_HMNI4OLQQ6RGRUZW/2022,no,
USA/MA-CDCBI-CRSP_ZX7LDME7BJOKPJ6L/2022,no,
USA/NY-CDC-LC0743820/2022,no,
USA/WA-CDC-LC0653619/2022,no,
USA/WI-UW-11228/2022,no,
ZAF/NHLS-UCT-GS-BJ66/2022,no,
USA/WA-CDC-QDX37011107/2022,no,
USA/WI-CDC-QDX38154960/2022,no,
USA/WA-CDC-LC0740648/2022,no,
USA/WA-CDC-QDX37843307/2022,no,
USA/WI-UW-11374/2022,no,
USA/WI-CDC-QDX38832851/2022,no,
USA/VT-Broad-CRSP_KN7IOPWHPO4MNMT3/2022,no,
USA/WA-CDC-LC0695970/2022,no,
Wales/LSPA-3EB853E/2022,no,
USA/WI-CDC-QDX37300852/2022,no,
USA/WA-CDC-LC0709830/2022,no,
Scotland/QEUH-3DF09E4/2022,no,
USA/WA-S20552/2022,no,
USA/WA-S20526/2022,no,
USA/WI-CDC-QDX36808090/2022,no,
USA/VA-VTVAS3-GSC40180/2022,no,
USA/WV136057/2022,no,
USA/RI-CDC-LC0706031/2022,no,
USA/NY-CDC-LC0698688/2022,no,
BRA/LACENAL-270228593/2022,no,
BRA/LACENAL-270228635/2022,no,
USA/GA-GPHL-2193/2022,no,
SouthAfrica/NHLS-UCT-GS-BJ07/2022,no,
SouthAfrica/NHLS-UCT-GP-O803/2022,no,
Scotland/LSPA-3E061B5/2022,no,
ZAF/NHLS-UCT-GS-BZ17/2022,no,
Scotland/LSPA-3E0607C/2022,no,
Scotland/LSPA-3ED9D5D/2022,no,
USA/NY-CDC-QDX38152468/2022,no,
England/QEUH-3E456BB/2022,no,
